sample_id, sample_time_start, sample_time_end, port_0_rx_bytes, port_0_tx_bytes, port_0_rx_packets, port_0_tx_packets, pcie_link_latency_total_read_packets, pcie_link_latency_total_read_ns, pcie_link_latency_max_read_ns, pcie_link_latency_min_read_ns
168,1284272.256512796,1284272.256549954, 22652510609775, 9567864122362740, 237326734969, 8900272286549, 1074, 675473, 1100, 483
169,1284272.256613940,1284272.256650856, 22652510610775, 9567864123600676, 237326734977, 8900272287693, 1070, 670548, 1064, 494
170,1284272.256715124,1284272.256752100, 22652510611775, 9567864124843402, 237326734987, 8900272288843, 1076, 663753, 1055, 487
171,1284272.256816644,1284272.256853596, 22652510612775, 9567864126091306, 237326734997, 8900272289994, 1086, 667558, 989, 483
172,1284272.256917258,1284272.256954500, 22652510613575, 9567864127326174, 237326735007, 8900272291137, 1067, 652014, 991, 485
173,1284272.257018900,1284272.257055962, 22652510614575, 9567864128571872, 237326735017, 8900272292287, 1083, 663023, 1050, 482
174,1284272.257120354,1284272.257157418, 22652510615575, 9567864129816324, 237326735025, 8900272293439, 1082, 667866, 971, 485
175,1284272.257221790,1284272.257258854, 22652510616575, 9567864131064224, 237326735035, 8900272294590, 1080, 661576, 1042, 487
176,1284272.257322806,1284272.257360020, 22652510617575, 9567864132303694, 237326735045, 8900272295736, 1075, 661150, 985, 482
177,1284272.257422894,1284272.257459950, 22652510618375, 9567864133529940, 237326735055, 8900272296868, 1062, 654041, 1016, 485
178,1284272.257523142,1284272.257560164, 22652510619375, 9567864134760018, 237326735065, 8900272298008, 1074, 658455, 983, 483
179,1284272.257623176,1284272.257660242, 22652510620375, 9567864135990574, 237326735073, 8900272299143, 1062, 661539, 1003, 485
180,1284272.257723758,1284272.257761062, 22652510621375, 9567864137225062, 237326735083, 8900272300284, 1071, 655153, 1042, 483
181,1284272.257825338,1284272.257862394, 22652510622175, 9567864138469226, 237326735093, 8900272301434, 1081, 658835, 987, 485
182,1284272.257926876,1284272.257963908, 22652510623175, 9567864139715690, 237326735101, 8900272302588, 1084, 662307, 980, 483
183,1284272.258027062,1284272.258064020, 22652510624175, 9567864140946630, 237326735111, 8900272303723, 1068, 660446, 1021, 482
184,1284272.258127230,1284272.258164398, 22652510625175, 9567864142176612, 237326735121, 8900272304860, 1065, 653530, 994, 482
185,1284272.258228906,1284272.258265968, 22652510625975, 9567864143422790, 237326735131, 8900272306012, 1080, 661987, 987, 483
186,1284272.258329006,1284272.258365994, 22652510626975, 9567864144650280, 237326735139, 8900272307149, 1068, 655330, 1003, 483
187,1284272.258429548,1284272.258466444, 22652510627975, 9567864145886684, 237326735149, 8900272308289, 1066, 656542, 1033, 485
188,1284272.258530338,1284272.258567560, 22652510628975, 9567864147124524, 237326735159, 8900272309433, 1068, 657948, 1005, 483
189,1284272.258631236,1284272.258668136, 22652510629775, 9567864148359586, 237326735169, 8900272310575, 1070, 657544, 1010, 487
190,1284272.258732084,1284272.258769026, 22652510630775, 9567864149596946, 237326735179, 8900272311720, 1079, 660710, 983, 485
191,1284272.258833496,1284272.258870438, 22652510631775, 9567864150844368, 237326735187, 8900272312871, 1083, 667373, 992, 483
192,1284272.258934988,1284272.258972250, 22652510632775, 9567864152090352, 237326735197, 8900272314023, 1083, 667228, 980, 483
193,1284272.259035522,1284272.259072628, 22652510633575, 9567864153321486, 237326735207, 8900272315161, 1070, 654853, 1016, 485
194,1284272.259135990,1284272.259173064, 22652510634575, 9567864154554630, 237326735217, 8900272316304, 1072, 656914, 985, 480
195,1284272.259236012,1284272.259272998, 22652510635575, 9567864155784900, 237326735225, 8900272317436, 1064, 655746, 971, 485
196,1284272.259336574,1284272.259373890, 22652510636575, 9567864157018714, 237326735235, 8900272318579, 1075, 657648, 989, 483
197,1284272.259437126,1284272.259474238, 22652510637375, 9567864158250710, 237326735245, 8900272319718, 1071, 656244, 992, 483
198,1284272.259538134,1284272.259575230, 22652510638375, 9567864159490180, 237326735255, 8900272320865, 1078, 656482, 991, 483
199,1284272.259639820,1284272.259676866, 22652510639375, 9567864160740956, 237326735265, 8900272322019, 1086, 670839, 991, 480
200,1284272.259739872,1284272.259777150, 22652510640375, 9567864161968638, 237326735273, 8900272323153, 1066, 657801, 982, 483
201,1284272.259840776,1284272.259877822, 22652510641375, 9567864163204944, 237326735283, 8900272324295, 1072, 656246, 994, 487
202,1284272.259941570,1284272.259978636, 22652510642175, 9567864164441732, 237326735293, 8900272325441, 1076, 666126, 996, 487
203,1284272.260042994,1284272.260080038, 22652510643175, 9567864165689440, 237326735301, 8900272326591, 1081, 665339, 978, 485
